Date, StationID, Station, Pin, Summary, Revisit, Revisit-Reason
2019-07-06, 3531, Happisburg, Yes, The idea is formed a photo is taken next to the lifeboat station sign, Yes, Photos insufficient
2019-07-23, 3355, Bridlington, Yes, Visit summary, Yes, Photos insufficient
2019-07-06, 3553, Great Yarmouth & Gorleston, Yes, Visit summary, Yes, Photos insufficient
2019-08-04, 8085, Penarth, Yes, Visit summary, Yes, Photos insufficient
2019-08-04, 8102, Barry Dock, Yes, Visit summary, Yes, Photos insufficient
2019-09-03, 1466, Workington, No, Visit summary, Yes, Could not access station within harbour need to find open day
2019-09-04, 1444, St Bees, No, Visit summary, Yes, Photos insufficient
2019-07-23, 3337, Flamborough, Yes, Visit summary, Yes, Photos insufficient
2019-07-23, 3319, Filey, Yes, Visit summary, Yes, Photos insufficient
2019-07-23, 3298, Scarborough, Yes, Visit summary, Yes, Photos insufficient
2019-07-24, 3276, Whitby, Yes, Visit summary, Yes, Photos insufficient
2019-07-24, 3249, Staithes and Runswick, Yes, Visit summary, Yes, Photos insufficient
2019-09-23, 8559, Beaumaris, Yes, Visit summary, Yes, Photos insufficient
2019-09-24, 8537, Moelfre, Yes, Visit summary, Yes, Photos insufficient
2019-09-24, 8513, Trearddur Bay, No, Visit summary, Yes, Photos insufficient
2019-09-25, 8420, Criccieth, Yes, Visit summary, Yes, Photos insufficient
2019-09-25, 8442, Pwllheli, No, Visit summary, Yes, No photos of boat or pin badge
2019-10-07, 8513, Trearddur Bay, No, Visit summary, Yes, No photos of boat or pin badge
2019-10-08, 8559, Beaumaris, Yes, Visit summary, Yes, No photos of boat
2019-10-08, 8537, Moelfre, Yes, Visit summary, No,
